words,merged,repub_benshapiro,repub_charliekirk11,repub_danieljhannan,repub_DeAnna4Congress,repub_dineshdsouza,repub_drmartyfox,repub_emfingersscout,repub_erictrump,repub_gopleader,repub_IngrahamAngle,repub_KellyannePolls,repub_lrihendry,repub_meghanmccain,repub_michellemalkin,repub_realdonaldtrump,repub_sarahpalinusa,repub_scrowder,repub_seanhannity,repub_tedcruz,repub_tuckercarlson
stimulus,0.04304330515192493,0.0,0.26428458163750723,0.0,0.0,0.0,0.0,0.0,0.07661074082586379,0.11017462678345176,0.0,0.0,0.0,0.0,0.0,0.135308842432853,0.0,0.16663889351774705,0.0,0.0,0.0
feel,0.2080426415676372,0.5181682751473541,0.3171414979650087,0.21123785382340515,0.501002004008016,0.056602705609328126,0.2206369051996764,0.09672115291614276,0.07661074082586379,0.11017462678345176,0.07438815740534108,0.2056484782012613,0.19945482348248122,0.2644453259288642,0.23581197924854583,0.0676544212164265,0.21893814997263275,0.24995834027662056,0.0,0.14806040864672784,0.3469210754553339
cost,0.07891272611186237,0.06477103439341926,0.0,0.05280946345585129,0.0,0.0,0.0,0.09672115291614276,0.15322148165172758,0.11017462678345176,0.14877631481068215,0.0,0.0,0.19833399444664815,0.07860399308284861,0.0676544212164265,0.21893814997263275,0.08331944675887352,0.0,0.2220906129700918,0.17346053772766695
omar,0.2439120625275746,0.0,0.6871399122575189,0.0,0.08350033400133601,0.0,0.1470912701331176,0.19344230583228553,0.0,0.0,0.0,0.06854949273375377,0.5318795292866165,0.06611133148221605,0.15720798616569723,0.0,2.6272577996715927,0.0,1.4715870500339596,0.07403020432336392,0.0
huge,0.19010793108766846,0.25908413757367704,0.05285691632750145,0.2640473172792564,0.16700066800267202,0.056602705609328126,0.2941825402662352,0.09672115291614276,0.15322148165172758,0.0,0.2231644722160232,0.2741979709350151,0.06648494116082707,0.19833399444664815,0.07860399308284861,0.541235369731412,0.7662835249042146,0.08331944675887352,0.11319900384876612,0.2220906129700918,0.08673026886383348
different,0.154238510127731,0.5181682751473541,0.26428458163750723,0.05280946345585129,0.08350033400133601,0.11320541121865625,0.0735456350665588,0.09672115291614276,0.07661074082586379,0.0,0.2231644722160232,0.0,0.0,0.5950019833399445,0.0,0.20296326364927947,0.4378762999452655,0.16663889351774705,0.0,0.14806040864672784,0.0
despite,0.19010793108766846,0.12954206878683852,0.1057138326550029,0.3168567807351077,0.0,0.33961623365596877,0.0,0.38688461166457105,0.22983222247759136,0.11017462678345176,0.5951052592427286,0.06854949273375377,0.13296988232165413,0.1322226629644321,0.23581197924854583,0.20296326364927947,0.10946907498631638,0.08331944675887352,0.4527960153950645,0.14806040864672784,0.08673026886383348
greatest,0.26902065719953083,0.25908413757367704,0.26428458163750723,0.4224757076468103,0.250501002004008,0.2264108224373125,0.1470912701331176,0.09672115291614276,0.9959396307362293,0.3856111937420812,0.07438815740534108,0.13709898546750754,0.5318795292866165,0.3966679888932963,0.07860399308284861,0.135308842432853,0.10946907498631638,0.08331944675887352,0.11319900384876612,0.2220906129700918,0.17346053772766695
elections,0.1040213207838186,0.0,0.3171414979650087,0.15842839036755385,0.0,0.11320541121865625,0.1470912701331176,0.09672115291614276,0.0,0.05508731339172588,0.0,0.2056484782012613,0.26593976464330826,0.0,0.07860399308284861,0.135308842432853,0.21893814997263275,0.08331944675887352,0.0,0.0,0.08673026886383348
passing,0.039456363055931185,0.0,0.05285691632750145,0.05280946345585129,0.0,0.0,0.0,0.0,0.0,0.22034925356690352,0.0,0.13709898546750754,0.13296988232165413,0.0,0.0,0.0,0.10946907498631638,0.0,0.0,0.0,0.0
