words,dem_AdamParkhomenko,dem_amyklobuchar,dem_AmyMcGrathKY,dem_aoc,dem_barackobama,dem_berniesanders,dem_funder,dem_ilhanmn,dem_joebiden,dem_joncoopertweets,dem_kamalaharris,dem_petebuttigieg,dem_rashidatlaib,dem_rbreich,dem_RepSwalwell,dem_senatorcarper,dem_senatorreid,dem_senbobcasey,dem_senschumer,dem_speakerpelosi,merged
senators,0.09068649678062936,0.3701266655699951,0.3035208417644678,0.1538935056940597,0.18751171948246764,0.09781864423359092,0.0,0.0,0.0,0.13801670002070252,0.0518295843267337,0.11988251513516752,0.0,0.15742246943380384,0.10948105977665865,0.3650205975908641,0.27948574622694244,0.4494634530029777,0.41860270417346895,0.17653289396257502,0.18489155829967
likely,0.09068649678062936,0.20562592531666393,0.1517604208822339,0.10259567046270647,0.12500781298831176,0.19563728846718184,0.35676061362825545,0.0,0.053824210129716346,0.27603340004140503,0.4146366746138696,0.23976503027033505,0.05402777027392079,0.26237078238967304,0.10948105977665865,0.15643739896751316,0.0,0.11236586325074442,0.0837205408346938,0.0,0.14847352408912892
bills,0.45343248390314683,0.12337555518999836,0.4552812626467017,0.4103826818508259,0.0,0.29345593270077275,0.0,0.2832540222071154,0.0,0.0,0.4664662589406033,0.0,0.05402777027392079,0.31484493886760767,0.05474052988832932,0.4171663972467018,0.349357182783678,0.05618293162537221,0.0837205408346938,0.23537719195010004,0.2045012690284229
release,0.0,0.16450074025333114,0.05058680696074464,0.10259567046270647,0.06250390649415588,0.0,0.17838030681412773,0.05665080444142307,0.0,0.27603340004140503,0.1554887529802011,0.05994125756758376,0.3241666216435248,0.052474156477934616,0.6021458287716225,0.052145799655837724,0.20961430967020683,0.3932805213776055,0.1674410816693876,0.11768859597505002,0.15127491133609364
speaking,0.0,0.20562592531666393,0.10117361392148928,0.2564891761567662,0.43752734545909117,0.04890932211679546,0.08919015340706386,0.11330160888284614,0.16147263038914905,0.0,0.1554887529802011,0.0,0.3781943919174456,0.052474156477934616,0.05474052988832932,0.10429159931167545,0.20961430967020683,0.05618293162537221,0.0418602704173469,1.0591973637754502,0.1764873965587759
partisan,0.0,0.3290014805066623,0.20234722784297857,0.0,0.3750234389649353,0.0,0.0,0.0,0.10764842025943269,0.06900835001035126,0.2073183373069348,0.05994125756758376,0.0,0.0,0.05474052988832932,0.3128747979350263,0.698714365567356,0.3370975897522333,0.20930135208673448,0.0,0.15127491133609364
medicare,0.0,0.041125185063332785,0.10117361392148928,0.3590848466194727,0.0,1.7118262740878412,0.0,0.3399048266485384,0.053824210129716346,0.0,0.0518295843267337,0.2997062878379188,0.10805554054784158,0.47226740830141156,0.0,0.0,0.0,0.11236586325074442,0.0,0.23537719195010004,0.21010404352235226
ilhan,0.0,0.0,0.0,0.0,0.0,0.04890932211679546,0.0,2.3226829820983457,0.0,0.0,0.0,0.0,0.270138851369604,0.0,0.0,0.0,0.06987143655673561,0.0,0.0,0.0,0.13446658785430546
committee,0.09068649678062936,0.41125185063332786,0.0,0.1538935056940597,0.0,0.04890932211679546,0.0,0.11330160888284614,0.053824210129716346,0.13801670002070252,0.1554887529802011,0.05994125756758376,0.05402777027392079,0.052474156477934616,0.2737026494416466,0.2085831986233509,0.4891000558971492,0.22473172650148884,0.37674243375612204,0.29422148993762504,0.16808323481788182
amendment,0.18137299356125872,0.0,0.1517604208822339,0.1538935056940597,0.0,0.3912745769343637,0.0,0.0,0.0,0.0,0.1036591686534674,0.05994125756758376,0.540277702739208,0.0,0.0,0.052145799655837724,0.20961430967020683,0.05618293162537221,0.1255808112520407,0.35306578792515003,0.12045965161948197
serious,0.18137299356125872,0.16450074025333114,0.0,0.10259567046270647,0.06250390649415588,0.04890932211679546,0.2675704602211916,0.11330160888284614,0.0,0.06900835001035126,0.2073183373069348,0.05994125756758376,0.10805554054784158,0.0,0.16422158966498795,0.4693121969025395,0.27948574622694244,0.11236586325074442,0.2930218929214283,0.4119100859126751,0.15407629858305832
lgbtq,0.0,0.16450074025333114,0.0,0.10259567046270647,0.0,0.29345593270077275,0.0,0.11330160888284614,0.48441789116744716,0.06900835001035126,0.4664662589406033,0.7192950908110052,0.05402777027392079,0.15742246943380384,0.10948105977665865,0.15643739896751316,0.0,0.3932805213776055,0.3348821633387752,0.4119100859126751,0.21290543076931698
systemic,0.0,0.3701266655699951,0.0,0.3077870113881194,0.06250390649415588,0.19563728846718184,0.0,0.45320643553138457,0.3229452607782981,0.0,0.4146366746138696,0.539471318108254,0.270138851369604,0.10494831295586923,0.05474052988832932,0.10429159931167545,0.0,0.05618293162537221,0.1674410816693876,0.11768859597505002,0.19049433279359937
given,0.0,0.20562592531666393,0.20234722784297857,0.3077870113881194,0.12500781298831176,0.04890932211679546,0.2675704602211916,0.11330160888284614,0.10764842025943269,0.06900835001035126,0.0518295843267337,0.11988251513516752,0.1620833108217624,0.052474156477934616,0.16422158966498795,0.052145799655837724,0.13974287311347122,0.11236586325074442,0.0837205408346938,0.11768859597505002,0.12606242611341137
